,team_1,team_2,team_1_score,team_2_score,stage,fifa_rank1,avg_age1,elo1,star_count1,coach_performance1,home_country_adv1,home_continent_adv1,last_best_performance1,final1,semi1,foreign_club1,att1,def1,mid1,ovr1,power_index1,offensive1,defensive1,avg_players_appearance1,avg_players_goal1,gdp1,population1,country_happiness_rank1,happiness_score1,life_expectancy1,freedom1,generosity1,goverment_corruption1,fifa_rank2,avg_age2,elo2,star_count2,coach_performance2,home_country_adv2,home_continent_adv2,last_best_performance2,final2,semi2,foreign_club2,att2,def2,mid2,ovr2,power_index2,offensive2,defensive2,avg_players_appearance2,avg_players_goal2,gdp2,population2,country_happiness_rank2,happiness_score2,life_expectancy2,freedom2,generosity2,goverment_corruption2,fifa_rank,elo,avg_age,home_country_adv,home_continent_adv,last_best_performance,star_count,coach_performance,final,semi,foreign_club,att,def,mid,ovr,power_index,offensive,defensive,avg_players_appearance,country_happiness_rank,gdp,population,happiness_score,life_expectancy,freedom,generosity,goverment_corruption
10,brazil,switzerland,1,1,0,2.0,27.8,2114.0,4.0,2.0,0.0,0.0,1.0,7.0,11.0,0.8,87.0,84.0,85.0,86.0,92.81522,3.1087599999999997,0.30493000000000003,29.869565217391305,,66.0,5.0,,6.63500022888184,0.6165523529052729,0.437453746795654,0.16234989464282998,0.111092761158943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,sweden,south korea,1,0,0,24.0,27.4,1825.0,1.0,24.0,0.0,1.0,12.0,1.0,4.0,1.0,78.0,77.0,76.0,77.0,73.86757,2.05513,0.72496,31.30434782608696,,11.0,91.0,,7.28399991989136,0.830875158309937,0.612924098968506,0.38539925217628496,0.384398728609085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,belgium,panama,3,0,0,3.0,27.0,1927.0,5.0,21.0,0.0,1.0,9.0,0.0,1.0,0.92,85.0,83.0,83.0,83.0,85.40682,2.8109599999999997,0.63262,47.26086956521739,,18.0,77.0,,6.89099979400635,0.8180918693542479,0.5397707223892211,0.23150333762168895,0.251343131065369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,tunisia,england,1,2,0,21.0,26.8,1624.0,0.0,26.0,0.0,0.0,35.0,0.0,0.0,0.41,73.0,72.0,72.0,73.0,59.59496,1.62315,0.9884799999999999,20.17391304347826,,118.0,79.0,,4.80499982833862,0.613212049007416,0.289680689573288,0.0496933571994305,0.0867231488227844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,columbia,japan,1,2,0,16.0,27.3,1927.0,3.0,6.0,0.0,0.0,31.0,0.0,0.0,0.89,82.0,78.0,78.0,79.0,80.52894,2.1824,0.51246,31.0,,85.0,29.0,,6.35699987411499,0.595027923583984,0.477487415075302,0.14901447296142598,0.0466687418520451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,poland,senegal,1,2,0,8.0,28.0,1842.0,2.0,18.0,0.0,1.0,22.0,0.0,2.0,0.77,83.0,78.0,78.0,80.0,73.28044,2.18065,0.84065,35.47826086956522,,55.0,36.0,,5.97300004959106,0.699475347995758,0.520342111587524,0.158465966582298,0.0593078061938286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,russia,egypt,3,1,0,70.0,28.1,1697.0,1.0,32.0,1.0,1.0,14.0,0.0,1.0,0.05,79.0,75.0,77.0,79.0,70.14205,1.94268,0.8043899999999999,28.52173913043478,,60.0,9.0,,5.962999820709231,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,portugal,morocco,1,0,0,4.0,27.7,1995.0,3.0,5.0,0.0,0.0,24.0,0.0,2.0,0.71,88.0,82.0,83.0,84.0,83.46619,2.40348,0.50431,39.52173913043478,,36.0,84.0,,5.19500017166138,0.795843541622162,0.498465299606323,0.0951027125120163,0.0158694516867399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,uruguay,saudi arabia,1,0,0,14.0,28.7,1866.0,3.0,7.0,0.0,0.0,10.0,2.0,5.0,0.88,86.0,80.0,77.0,80.0,79.52363000000003,2.2853,0.62285,42.26086956521739,,45.0,133.0,,6.4539999961853,0.719216823577881,0.5793922543525699,0.175096929073334,0.17806187272071802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,iran,spain,0,1,0,37.0,26.5,1799.0,0.0,14.0,0.0,0.0,36.0,0.0,0.0,0.42,74.0,73.0,73.0,74.0,65.56769,1.60243,0.72717,30.52173913043478,,92.0,17.0,,4.69199991226196,0.639333188533783,0.24932260811328896,0.387242913246155,0.048761073499918005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,denmark,australia,1,1,0,12.0,26.1,1842.0,1.0,19.0,0.0,1.0,40.0,0.0,0.0,0.89,76.0,76.0,79.0,78.0,74.74844,2.13883,0.74455,26.56521739130435,,9.0,116.0,,7.52199983596802,0.7925655245780941,0.626006722450256,0.3552804887294771,0.40077006816864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,france,peru,1,0,0,7.0,26.4,1989.0,5.0,12.0,0.0,1.0,7.0,2.0,5.0,0.67,86.0,82.0,84.0,85.0,87.17681999999998,2.8858200000000003,0.56975,26.04347826086957,,24.0,21.0,,6.44199991226196,0.8444658517837521,0.470222115516663,0.129762306809425,0.172502428293228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,argentina,croatia,0,3,0,5.0,28.4,1984.0,4.0,3.0,0.0,0.0,4.0,5.0,5.0,0.84,86.0,81.0,82.0,84.0,87.41192,2.58581,0.39899,37.34782608695652,,53.0,31.0,,6.59899997711182,0.695137083530426,0.4945192039012911,0.109457060694695,0.059739887714385986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,brazil,costa rica,2,0,0,2.0,27.8,2114.0,4.0,2.0,0.0,0.0,1.0,7.0,11.0,0.8,87.0,84.0,85.0,86.0,92.81522,3.1087599999999997,0.30493000000000003,29.869565217391305,,66.0,5.0,,6.63500022888184,0.6165523529052729,0.437453746795654,0.16234989464282998,0.111092761158943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,nigeria,iceland,2,0,0,48.0,24.9,1696.0,0.0,20.0,0.0,0.0,30.0,0.0,0.0,0.91,75.0,72.0,76.0,75.0,70.08336,1.8150099999999998,0.71082,25.608695652173914,,139.0,7.0,,5.07399988174438,0.0569157302379608,0.394952565431595,0.230947196483612,0.0261215660721064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,serbia,switzerland,1,2,0,34.0,27.7,1769.0,0.0,31.0,0.0,1.0,11.0,0.0,2.0,0.92,76.0,78.0,81.0,78.0,73.8232,2.0840799999999997,0.74737,25.956521739130434,,89.0,102.0,,5.39499998092651,0.65078467130661,0.20871552824974104,0.22012588381767295,0.0409037806093693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,belgium,tunisia,5,2,0,3.0,27.0,1927.0,5.0,21.0,0.0,1.0,9.0,0.0,1.0,0.92,85.0,83.0,83.0,83.0,85.40682,2.8109599999999997,0.63262,47.26086956521739,,18.0,77.0,,6.89099979400635,0.8180918693542479,0.5397707223892211,0.23150333762168895,0.251343131065369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,south korea,mexico,1,2,0,57.0,26.5,1760.0,1.0,25.0,0.0,0.0,15.0,0.0,1.0,0.59,71.0,70.0,74.0,73.0,60.1367,1.6159299999999999,0.95934,29.30434782608696,,28.0,27.0,,5.837999820709231,0.900214076042175,0.257921665906906,0.206674367189407,0.0632826685905457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,germany,sweden,2,1,0,1.0,25.7,2109.0,6.0,1.0,0.0,1.0,2.0,8.0,13.0,0.32,85.0,85.0,85.0,86.0,90.61094,3.23346,0.5222399999999999,41.08695652173913,,17.0,19.0,,6.9510002136230495,0.798950731754303,0.562511384487152,0.33626917004585305,0.276731938123703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,england,panama,6,1,0,21.0,25.9,1933.0,2.0,22.0,0.0,1.0,8.0,1.0,2.0,0.0,83.0,80.0,81.0,81.0,83.72824,2.3439200000000002,0.45752,20.956521739130434,,22.0,22.0,,6.71400022506714,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,japan,senegal,2,2,0,61.0,27.5,1706.0,0.0,27.0,0.0,0.0,29.0,0.0,0.0,0.47,76.0,73.0,78.0,75.0,71.43255,2.06588,0.84009,45.0,,25.0,10.0,,5.92000007629395,0.9134758710861208,0.505625545978546,0.12057276815176,0.163760736584663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,poland,columbia,0,3,0,8.0,28.0,1842.0,2.0,18.0,0.0,1.0,22.0,0.0,2.0,0.77,83.0,78.0,78.0,80.0,73.28044,2.18065,0.84065,35.47826086956522,,55.0,36.0,,5.97300004959106,0.699475347995758,0.520342111587524,0.158465966582298,0.0593078061938286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,uruguay,russia,3,0,0,14.0,28.7,1866.0,3.0,7.0,0.0,0.0,10.0,2.0,5.0,0.88,86.0,80.0,77.0,80.0,79.52363000000003,2.2853,0.62285,42.26086956521739,,45.0,133.0,,6.4539999961853,0.719216823577881,0.5793922543525699,0.175096929073334,0.17806187272071802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,saudi arabia,egypt,2,1,0,67.0,28.7,1574.0,0.0,9.0,0.0,0.0,33.0,0.0,0.0,0.0,71.0,71.0,72.0,72.0,51.3338,1.47177,1.20177,34.30434782608695,,37.0,47.0,,6.343999862670901,0.590148329734802,0.449750572443008,0.147616013884544,0.27343225479126004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,iran,portugal,1,1,0,37.0,26.5,1799.0,0.0,14.0,0.0,0.0,36.0,0.0,0.0,0.42,74.0,73.0,73.0,74.0,65.56769,1.60243,0.72717,30.52173913043478,,92.0,17.0,,4.69199991226196,0.639333188533783,0.24932260811328896,0.387242913246155,0.048761073499918005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,spain,morocco,2,2,0,10.0,28.0,2031.0,6.0,4.0,0.0,1.0,6.0,1.0,2.0,0.35,84.0,85.0,86.0,85.0,91.30254000000001,3.2111400000000003,0.46145,42.21739130434783,,31.0,28.0,,6.40299987792969,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,denmark,france,0,0,0,12.0,26.1,1842.0,1.0,19.0,0.0,1.0,40.0,0.0,0.0,0.89,76.0,76.0,79.0,78.0,74.74844,2.13883,0.74455,26.56521739130435,,9.0,116.0,,7.52199983596802,0.7925655245780941,0.626006722450256,0.3552804887294771,0.40077006816864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,australia,peru,0,2,0,36.0,26.9,1727.0,0.0,23.0,0.0,0.0,32.0,0.0,0.0,0.81,69.0,70.0,72.0,72.0,61.68548000000001,1.7923,1.04721,29.82608695652174,,10.0,56.0,,7.28399991989136,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,nigeria,argentina,1,2,0,48.0,24.9,1696.0,0.0,20.0,0.0,0.0,30.0,0.0,0.0,0.91,75.0,72.0,76.0,75.0,70.08336,1.8150099999999998,0.71082,25.608695652173914,,139.0,7.0,,5.07399988174438,0.0569157302379608,0.394952565431595,0.230947196483612,0.0261215660721064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,iceland,croatia,1,2,0,22.0,29.0,1811.0,0.0,10.0,0.0,1.0,77.0,0.0,0.0,1.0,75.0,74.0,78.0,75.0,67.07394000000001,1.9212200000000001,0.9201799999999999,40.04347826086956,,4.0,178.0,,7.50400018692017,0.8335521221160892,0.6271626353263849,0.475540220737457,0.15352655947208402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,mexico,sweden,0,3,0,15.0,27.4,1848.0,0.0,16.0,0.0,0.0,5.0,0.0,0.0,0.34,81.0,77.0,79.0,79.0,75.77906,2.16425,0.7156399999999999,60.30434782608695,,70.0,11.0,,6.57800006866455,0.709978997707367,0.412730008363724,0.120990432798862,0.132774114608765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,south korea,germany,2,0,0,57.0,26.5,1760.0,1.0,25.0,0.0,0.0,15.0,0.0,1.0,0.59,71.0,70.0,74.0,73.0,60.1367,1.6159299999999999,0.95934,29.30434782608696,,28.0,27.0,,5.837999820709231,0.900214076042175,0.257921665906906,0.206674367189407,0.0632826685905457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,serbia,brazil,0,2,0,34.0,27.7,1769.0,0.0,31.0,0.0,1.0,11.0,0.0,2.0,0.92,76.0,78.0,81.0,78.0,73.8232,2.0840799999999997,0.74737,25.956521739130434,,89.0,102.0,,5.39499998092651,0.65078467130661,0.20871552824974104,0.22012588381767295,0.0409037806093693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,switzerland,costa rica,2,2,0,6.0,26.6,1866.0,0.0,13.0,0.0,1.0,13.0,0.0,0.0,0.9,76.0,78.0,77.0,78.0,78.14180999999998,2.28471,0.68735,37.34782608695652,,2.0,98.0,,7.49399995803833,0.858131289482117,0.620070576667786,0.29054927825927696,0.3670072853565221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,japan,poland,0,1,0,61.0,27.5,1706.0,0.0,27.0,0.0,0.0,29.0,0.0,0.0,0.47,76.0,73.0,78.0,75.0,71.43255,2.06588,0.84009,45.0,,25.0,10.0,,5.92000007629395,0.9134758710861208,0.505625545978546,0.12057276815176,0.163760736584663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,senegal,columbia,0,1,0,27.0,26.4,1752.0,1.0,29.0,0.0,0.0,54.0,0.0,0.0,0.97,77.0,76.0,77.0,76.0,65.96802,1.65995,0.75761,27.130434782608692,,155.0,71.0,,4.53499984741211,0.409362852573395,0.37792226672172496,0.183468893170357,0.115460447967052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,panama,tunisia,1,2,0,55.0,29.4,1671.0,0.0,17.0,0.0,0.0,77.0,0.0,0.0,0.81,68.0,69.0,69.0,69.0,56.472719999999995,1.45612,0.96652,58.47826086956522,,51.0,131.0,,6.4520001411438,0.706156134605408,0.550026834011078,0.21055693924427,0.070983923971653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,england,belgium,0,1,0,21.0,25.9,1933.0,2.0,22.0,0.0,1.0,8.0,1.0,2.0,0.0,83.0,80.0,81.0,81.0,83.72824,2.3439200000000002,0.45752,20.956521739130434,,22.0,22.0,,6.71400022506714,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,france,argentina,4,3,1,7.0,26.4,1989.0,5.0,12.0,0.0,1.0,7.0,2.0,5.0,0.67,86.0,82.0,84.0,85.0,87.17681999999998,2.8858200000000003,0.56975,26.04347826086957,,24.0,21.0,,6.44199991226196,0.8444658517837521,0.470222115516663,0.129762306809425,0.172502428293228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,uruguay,portugal,2,1,1,14.0,28.7,1866.0,3.0,7.0,0.0,0.0,10.0,2.0,5.0,0.88,86.0,80.0,77.0,80.0,79.52363000000003,2.2853,0.62285,42.26086956521739,,45.0,133.0,,6.4539999961853,0.719216823577881,0.5793922543525699,0.175096929073334,0.17806187272071802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,spain,russia,1,1,1,10.0,28.0,2031.0,6.0,4.0,0.0,1.0,6.0,1.0,2.0,0.35,84.0,85.0,86.0,85.0,91.30254000000001,3.2111400000000003,0.46145,42.21739130434783,,31.0,28.0,,6.40299987792969,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,croatia,denmark,1,1,1,20.0,27.5,1856.0,3.0,30.0,0.0,0.0,34.0,0.0,1.0,1.0,81.0,78.0,82.0,80.0,80.38099,2.28947,0.58512,40.30434782608695,,56.0,128.0,,5.2930002212524405,0.701288521289825,0.255772292613983,0.248002976179123,0.0431031100451946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,brazil,mexico,2,0,1,2.0,27.8,2114.0,4.0,2.0,0.0,0.0,1.0,7.0,11.0,0.8,87.0,84.0,85.0,86.0,92.81522,3.1087599999999997,0.30493000000000003,29.869565217391305,,66.0,5.0,,6.63500022888184,0.6165523529052729,0.437453746795654,0.16234989464282998,0.111092761158943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,belgium,japan,3,2,1,3.0,27.0,1927.0,5.0,21.0,0.0,1.0,9.0,0.0,1.0,0.92,85.0,83.0,83.0,83.0,85.40682,2.8109599999999997,0.63262,47.26086956521739,,18.0,77.0,,6.89099979400635,0.8180918693542479,0.5397707223892211,0.23150333762168895,0.251343131065369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,sweden,switzerland,1,0,1,24.0,27.4,1825.0,1.0,24.0,0.0,1.0,12.0,1.0,4.0,1.0,78.0,77.0,76.0,77.0,73.86757,2.05513,0.72496,31.30434782608696,,11.0,91.0,,7.28399991989136,0.830875158309937,0.612924098968506,0.38539925217628496,0.384398728609085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,columbia,england,1,1,1,16.0,27.3,1927.0,3.0,6.0,0.0,0.0,31.0,0.0,0.0,0.89,82.0,78.0,78.0,79.0,80.52894,2.1824,0.51246,31.0,,85.0,29.0,,6.35699987411499,0.595027923583984,0.477487415075302,0.14901447296142598,0.0466687418520451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,uruguay,france,0,2,2,14.0,28.7,1866.0,3.0,7.0,0.0,0.0,10.0,2.0,5.0,0.88,86.0,80.0,77.0,80.0,79.52363000000003,2.2853,0.62285,42.26086956521739,,45.0,133.0,,6.4539999961853,0.719216823577881,0.5793922543525699,0.175096929073334,0.17806187272071802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,brazil,belgium,1,2,2,2.0,27.8,2114.0,4.0,2.0,0.0,0.0,1.0,7.0,11.0,0.8,87.0,84.0,85.0,86.0,92.81522,3.1087599999999997,0.30493000000000003,29.869565217391305,,66.0,5.0,,6.63500022888184,0.6165523529052729,0.437453746795654,0.16234989464282998,0.111092761158943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,sweden,england,0,2,2,24.0,27.4,1825.0,1.0,24.0,0.0,1.0,12.0,1.0,4.0,1.0,78.0,77.0,76.0,77.0,73.86757,2.05513,0.72496,31.30434782608696,,11.0,91.0,,7.28399991989136,0.830875158309937,0.612924098968506,0.38539925217628496,0.384398728609085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,russia,croatia,2,2,2,70.0,28.1,1697.0,1.0,32.0,1.0,1.0,14.0,0.0,1.0,0.05,79.0,75.0,77.0,79.0,70.14205,1.94268,0.8043899999999999,28.52173913043478,,60.0,9.0,,5.962999820709231,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,france,belgium,1,0,3,7.0,26.4,1989.0,5.0,12.0,0.0,1.0,7.0,2.0,5.0,0.67,86.0,82.0,84.0,85.0,87.17681999999998,2.8858200000000003,0.56975,26.04347826086957,,24.0,21.0,,6.44199991226196,0.8444658517837521,0.470222115516663,0.129762306809425,0.172502428293228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,england,croatia,1,2,3,21.0,25.9,1933.0,2.0,22.0,0.0,1.0,8.0,1.0,2.0,0.0,83.0,80.0,81.0,81.0,83.72824,2.3439200000000002,0.45752,20.956521739130434,,22.0,22.0,,6.71400022506714,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
