,team_1,team_2,team_1_score,team_2_score,stage,fifa_rank1,avg_age1,elo1,star_count1,coach_performance1,home_country_adv1,home_continent_adv1,last_best_performance1,final1,semi1,foreign_club1,att1,def1,mid1,ovr1,power_index1,offensive1,defensive1,avg_players_appearance1,avg_players_goal1,gdp1,population1,country_happiness_rank1,happiness_score1,life_expectancy1,freedom1,generosity1,goverment_corruption1,fifa_rank2,avg_age2,elo2,star_count2,coach_performance2,home_country_adv2,home_continent_adv2,last_best_performance2,final2,semi2,foreign_club2,att2,def2,mid2,ovr2,power_index2,offensive2,defensive2,avg_players_appearance2,avg_players_goal2,gdp2,population2,country_happiness_rank2,happiness_score2,life_expectancy2,freedom2,generosity2,goverment_corruption2,fifa_rank,elo,avg_age,home_country_adv,home_continent_adv,last_best_performance,star_count,coach_performance,final,semi,foreign_club,att,def,mid,ovr,power_index,offensive,defensive,avg_players_appearance,country_happiness_rank,gdp,population,happiness_score,life_expectancy,freedom,generosity,goverment_corruption
0,russia,saudi arabia,5,0,0,70.0,28.1,1697.0,1.0,32.0,1.0,1.0,14.0,0.0,1.0,0.05,79.0,75.0,77.0,79.0,70.14205,1.94268,0.8043899999999999,28.52173913043478,,60.0,9.0,,5.962999820709231,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,egypt,uruguay,0,1,0,45.0,27.0,1659.0,1.0,15.0,0.0,0.0,51.0,0.0,0.0,0.58,75.0,74.0,77.0,76.0,62.46236,1.60808,0.85654,37.30434782608695,,132.0,14.0,,4.7350001335144,0.520187258720398,0.28211015462875394,0.128631442785263,0.114381365478039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,morocco,iran,0,1,0,41.0,27.2,1691.0,0.0,8.0,0.0,0.0,39.0,0.0,0.0,0.85,74.0,77.0,77.0,76.0,72.33079000000002,1.86875,0.65756,24.04347826086957,,125.0,40.0,,5.2350001335144,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,portugal,spain,3,3,0,4.0,27.7,1995.0,3.0,5.0,0.0,0.0,24.0,0.0,2.0,0.71,88.0,82.0,83.0,84.0,83.46619,2.40348,0.50431,39.52173913043478,,36.0,84.0,,5.19500017166138,0.795843541622162,0.498465299606323,0.0951027125120163,0.0158694516867399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,france,australia,2,1,0,7.0,26.4,1989.0,5.0,12.0,0.0,1.0,7.0,2.0,5.0,0.67,86.0,82.0,84.0,85.0,87.17681999999998,2.8858200000000003,0.56975,26.04347826086957,,24.0,21.0,,6.44199991226196,0.8444658517837521,0.470222115516663,0.129762306809425,0.172502428293228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,argentina,iceland,1,1,0,5.0,28.4,1984.0,4.0,3.0,0.0,0.0,4.0,5.0,5.0,0.84,86.0,81.0,82.0,84.0,87.41192,2.58581,0.39899,37.34782608695652,,53.0,31.0,,6.59899997711182,0.695137083530426,0.4945192039012911,0.109457060694695,0.059739887714385986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,peru,denmark,0,1,0,11.0,27.0,1881.0,0.0,11.0,0.0,0.0,38.0,0.0,0.0,0.54,78.0,74.0,75.0,76.0,72.15616,1.97974,0.74528,34.08695652173913,,84.0,43.0,,5.71500015258789,0.6301661133766171,0.4500028789043429,0.126819714903831,0.0470490865409374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,croatia,nigeria,2,0,0,20.0,27.5,1856.0,3.0,30.0,0.0,0.0,34.0,0.0,1.0,1.0,81.0,78.0,82.0,80.0,80.38099,2.28947,0.58512,40.30434782608695,,56.0,128.0,,5.2930002212524405,0.701288521289825,0.255772292613983,0.248002976179123,0.0431031100451946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,costa rica,serbia,0,1,0,23.0,29.0,1746.0,1.0,28.0,0.0,0.0,37.0,0.0,0.0,0.67,69.0,73.0,73.0,73.0,64.89752,1.7336799999999999,0.8612799999999999,51.34782608695652,,58.0,123.0,,7.0789999961853,0.7595092654228209,0.580131649971008,0.21461322903633104,0.100106589496136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,germany,mexico,0,1,0,1.0,25.7,2109.0,6.0,1.0,0.0,1.0,2.0,8.0,13.0,0.32,85.0,85.0,85.0,86.0,90.61094,3.23346,0.5222399999999999,41.08695652173913,,17.0,19.0,,6.9510002136230495,0.798950731754303,0.562511384487152,0.33626917004585305,0.276731938123703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
